id;device_code;notification_token;last_login;active;user_enc_id
1;substantial;shaft psst rebound;2025-02-24T15:22:47;false;21b30dd9-bcd5-42f8-b234-7338fad4ea09
2;strict;furthermore lid;2025-02-24T10:03:23;true;057afc83-e93a-482d-9762-935ee7fa5281
3;equal painfully uncork;around gah;2025-02-24T06:09:46;false;3d098586-0335-4a2c-8f1d-c6de2c3a8e7a
4;always accidentally;plain;2025-02-24T15:38:09;true;2a1bbc0a-5af4-4aa1-be19-33cf1060dc99
5;hollow;with down adjudge;2025-02-24T04:12:12;false;97488a8e-ab14-4666-9a10-64544e6215cb
6;mockingly;humiliating;2025-02-24T11:51:02;true;e367b05c-7b79-47bc-b27b-34c260c74520
7;equally;however mmm oof;2025-02-24T06:37:03;true;d24a9d56-ecb5-42fc-bcdc-185cafaedcf7
8;apud provided;officially;2025-02-24T03:35:47;true;a188906a-28f7-4b2f-9284-0e517648bbbd
9;beneath;lend phrase;2025-02-23T20:53:09;true;70b4efde-b1f5-49dd-b0ca-ef7c486e4156
10;unto inside boldly;downshift why;2025-02-23T21:32:51;false;3bb11cc0-261f-419f-97b7-4f12a4766cc6
