id;msg;from_user_enc_id;to_user_enc_id;cargo_request_id
1;quirkily;bb352aa2-6d9c-4249-8150-8c99ce2f1909;324acaa9-11b0-4507-8d81-9ea89a106186;31547
2;save besides;dccfd1f0-be9a-4c8c-9e61-0d3ca8c16884;358c20d6-db9f-483a-b2c9-4e8b39896a92;26665
3;mmm blue emergent;fbc96fe7-6a0f-4011-aef1-540a35746ed4;f2e2f0f9-4314-445d-9bf0-591e9d2e08b4;7144
4;hm;4e44259b-b27e-4e33-b756-0b2ef6276310;67dfb433-bb10-4ec1-9980-8565216d8f10;16856
5;bewail round;70700863-f3f5-4c67-a043-1e01da2993d9;57f34b25-2bbc-437d-85cc-946046334c90;28956
6;phooey;a0f0acc4-15fe-4b07-961e-ab49fede0a98;c6d07ea2-b461-481e-b77f-b9da8ac4841b;12974
7;pish into stint;3b5f24f7-baa0-4f94-a4b9-f4619c8762e3;38f1e87f-197d-4bf8-8a05-fdcf0a84e824;20387
8;fantastic draw;b72788a8-a136-4bc3-906c-7b8328099e8e;137cb6ba-63d3-47dd-96f7-22d666be167a;14240
9;whoever;3532c57d-f4a7-4bf0-b828-01a256ed3360;6a398eae-1cbf-4fd9-8c89-f24fc379dbd0;18604
10;excluding reboot;c201352b-f3ea-4b53-b36a-40ebff97efb1;5aa357f6-8885-48f4-a4e9-f1aef3388f44;13457
