id;name;local_name;iso_2;iso_3;numeric_code;phone_code;currency;currency_name;currency_symbol;emoji;emoji_u
1;abaft;pasta;outset limping;till powerfully political;engender information;rudely;gifted opposite;New Leu;Db;geez noteworthy;an
2;wrathful upbeat;besides;ah unusual quantify;nifty vainly;bulky over;napkin juggernaut whoever;likewise ouch gadzooks;New Taiwan Dollar;лв;utterly;amidst bad
3;institutionalize supposing woot;agreeable;by versus tusk;minor alongside;gosh sure-footed amendment;which excepting boo;bidet sheepishly wetly;Pataca;CHF;now;alert zebra
4;extroverted provided;finally hundred e-mail;orchid;round gah;black striking;consequently remarkable;ice-cream lest;Pakistan Rupee;lei;whose decryption gadzooks;navigate indeed versus
5;expert;likely versus;mostly;ick;advertisement;mechanically wetly;fooey;Seychelles Rupee;BZ$;whereas blah essence;altruistic zen if
6;which modulo whoever;aside where up;quit;versus;criminal as;anenst;times;Burundi Franc;₨;hotfoot;jaggedly neaten straight
7;dearly adumbrate;ha;generally instead blah;over viciously space;vivaciously;lazily aha lest;greatly;New Zealand Dollar;$;since failing grade;optimistically ugh
8;lonely coolly;woot coaxingly sneaky;ick at;loudly smoothly digital;stigmatize psst uh-huh;fairly madly captain;after when whoever;Somali Shilling;£;regal repeatedly;taro
9;almost cutlet haul;into;machine first;litter ew;astride;aw intrepid above;commemorate failing stormy;Namibia Dollar;Rbl;next now unless;below
10;meh punctually;midst until mammoth;once whispered ripe;fervently minus;whenever;massage;metallic justly;Argentine Peso;₨;provided innocently spice;slipper potentially well
