id;name;name_en;name_ar;name_fr;name_de;name_urdu;is_active;default_uom
1;worth within;that whose;cloudy;blah;mysteriously;gleefully without fog;false;optimistically though
2;whether unlike inasmuch;jazz;tune-up seagull ecliptic;yet;dispose;measly zesty excepting;true;blink besides
3;badly substantiate onset;aha whether optimistically;fat;conservative yippee;culture;pfft;true;angrily behind
4;paralyse;house come quaintly;below;eek;underneath anticodon;oxidize well-lit;true;impassioned because
5;unsung whenever;aw pace;very bah embed;promptly crocodile louse;lightly violently roughly;questionably upright tenant;false;that abnormally doting
6;perky inasmuch;ha pixellate;successfully provided;beautifully why knottily;furthermore knit phew;during obsess nicely;true;fedora broken scope
7;woot although harmful;phony how;elementary into;till;yeast amid incomparable;spark;false;across huzzah
8;jam-packed brr;whoever;loudly if;ah fun;icy sweetly impure;because tinted daintily;true;courageously furthermore
9;generously which alive;fidget upsell shirk;since;hospitalization;yippee foolhardy;ouch upright;false;fair aside
10;ape shameful;blah;tenderly;worriedly woot publicity;procrastinate badly mid;behind;false;without
