id;name;name_en;name_ar;name_fr;name_de;name_urdu;is_active
1;where upbeat;minus;furthermore colorfully;smug phew which;innocent;powerless versus;false
2;lest;whoever millet viciously;scarcely fax;yuck throughout triangular;haul keenly perky;ravioli meh trouser;false
3;reassuringly completion repeatedly;ah;husk fashion;trick meaty drat;furthermore;sadly fooey;false
4;gah orderly;alongside expert;knuckle frenetically;amidst furthermore plain;only lumbering;optimistically revoke uh-huh;true
5;nutritious boo enchanting;woot amongst without;scared;once terraform;whoever;burgeon rare;true
6;inconsequential within;unless cannibalise;bleakly;to rudely;quarrelsomely informal hunt;nun although;false
7;however sprinkles unless;woot;gah like;beyond blaspheme while;where gracefully;whenever whenever boo;false
8;pfft;next plus save;aha;indeed decryption;more worth;commonly;true
9;knowledgeably gigantic;whose plugin;whereas;elevation aw nippy;remark;though muffled;true
10;gift;pace;via;sheathe;independence;sometimes although;true
