id;type;name_en;name_ar;name_fr;name_de;name_urdu;details;details_en;details_ar;details_fr;details_de;details_urdu
1;NORMAL;concerning;yieldingly aware;secrecy bustling excitedly;easily longingly gad;drat;../fake-data/blob/hipster.txt;nor;colorless kindheartedly fearless;bourgeoisie;punctually barring;misspend ew
2;PREMIUM;bah and blah;reasoning nor;boo pretend;overproduce an;alongside iterate character;../fake-data/blob/hipster.txt;break;barring;outlandish;mmm modulo tight;bidet
3;CORPORATE;mixed;barring miserly jealously;highly;haunting drat shudder;cappelletti;../fake-data/blob/hipster.txt;offensively and weep;grandpa;salty overheard advancement;bah elementary;hence zowie
4;NORMAL;legal;even elver;speedily ugh dense;who;abaft;../fake-data/blob/hipster.txt;highly;broadly giving off;meaningfully;elementary unaccountably drat;duh neighboring
5;PREMIUM;mmm unexpectedly;finger drat probe;alarmed gee across;treasure store;however likewise;../fake-data/blob/hipster.txt;irritably different;croon;yippee meanwhile merrily;vacation low;er
6;PREMIUM;ditch;serene circa truthfully;eek;hence confirm round;late how;../fake-data/blob/hipster.txt;ew woefully into;nun;circa spherical terribly;but;louse deceivingly frantically
7;CORPORATE;how;obvious snowplow;mooch;deer;since provider;../fake-data/blob/hipster.txt;now indeed unexpectedly;unless mostly;ew;rudely opposite flint;and subexpression swim
8;NORMAL;factorise consequently;gosh;hmph respray colorfully;gee;gadzooks;../fake-data/blob/hipster.txt;ceramic cheerfully;harvest times;strong;kookily oh drug;bend broadside
9;CORPORATE;until;after ugh;ordinary space;huzzah hmph;but regular;../fake-data/blob/hipster.txt;league once;narrowcast yum recklessly;arbitrate uh-huh hunt;jump fussy;sarong fooey
10;NORMAL;joshingly dredger yowza;linseed;till that frugal;suspiciously mosh ah;notwithstanding rigidly blink;../fake-data/blob/hipster.txt;along rival critical;greedily;oddly regarding sedately;consequently transom;incidentally into calmly
