id;name;name_en;name_ar;name_fr;name_de;name_urdu;icon_url
1;true in;hm near lashes;impostor oxidize pigpen;however opposite;celebrated pfft;yowza wasteful fluffy;apud brr stunning
2;consequently than zowie;sadly improbable;phew affiliate;jet inasmuch phew;gurn;comparison thigh;boo though
3;perfectly accept circumnavigate;serene starboard phooey;fabricate;lawmaker pry;um;handy;recompense tool
4;where;important;procrastinate;like for;scuffle;glisten pfft bah;grave
5;unlike;pfft blossom;cease whether;vestment recklessly readily;ouch essential after;wearily cruelly guilty;whereas procrastinate somber
6;closely;where;buttery;personalise;personalise;yuck boohoo;underneath
7;pfft;fence lounge lack;what whoa;indeed how fat;toward;selfishly clueless gadzooks;over except
8;yum like;provision finally out;unnaturally because gifted;switchboard meh yuck;obligation put;grown since institutionalize;reckon
9;misguided ew tackle;hence impressionable;frantically;bakeware role snoop;unscramble peninsula freight;left;aftermath towards
10;deprave hyphenation boo;obediently hunger outdo;reference which failing;scoop curl whoa;dreamily yuck;entry phony;apropos
