id;trip_date;arrive_date;max_weight;notes;create_date;is_negotiate;status;created_by_enc_id;enc_id
1;2025-02-24T17:46:54;2025-02-24T17:39:43;2201;form clearly punctual;2025-02-23T21:31:50;false;REJECTED;053ccbf6-1de8-4221-a650-4dce0c5b49ee;91d6e5cc-bdd4-430c-b055-b2cbc842757f
2;2025-02-24T05:31:36;2025-02-24T12:17:23;14718;above yum ectoderm;2025-02-23T20:28:36;true;NEW;19ec3cbc-a043-4f07-8293-e16f6f8ece23;80df1f38-6c2d-45f7-87c2-6adf7de58dd8
3;2025-02-24T17:34:50;2025-02-24T16:42:24;13675;which happily;2025-02-24T13:36:10;true;NEW;d1792660-0eaa-4fa7-a5c9-9dea5ffb55e0;f0529706-c1a8-4aa1-912b-4423bd619df5
4;2025-02-24T11:10:55;2025-02-24T18:34:07;19877;quietly subdued what;2025-02-24T13:35:26;true;COMPLETED;24bd0217-7ce3-494a-9d87-4bbe095d9513;88a3938e-8b22-419c-ae59-3930f01f6190
5;2025-02-24T09:28:37;2025-02-24T06:04:09;19906;yippee cloudy;2025-02-24T06:07:50;false;NEW;2ecba086-f630-4962-9342-a6827365823d;5e37d7e8-e492-4fcc-b96b-819d6503be66
6;2025-02-24T04:56:26;2025-02-24T18:29:22;22627;along wherever for;2025-02-24T16:13:34;true;COMPLETED;386d3c48-6046-4d79-bd25-90fbac31968a;f982fb4d-fe8c-4b82-9106-ff2d8576f52d
7;2025-02-24T14:38:40;2025-02-23T20:38:41;31896;design boo although;2025-02-23T22:33:03;false;NEW;9ce7fc3a-e1a5-402d-94a9-4156d7e0cd0e;4c96f39e-3886-45ce-a85f-4b5d3e64acca
8;2025-02-24T02:33:20;2025-02-24T17:17:00;14527;brief;2025-02-24T12:50:04;false;CANCELLED;aa1ed039-ef6b-4cb6-ab5d-6efb1ce8889c;e94f4352-1acd-4790-bdf1-12d4638383e9
9;2025-02-24T00:37:52;2025-02-23T23:02:10;25302;yum where;2025-02-24T04:50:37;true;PUBLISHED;9a8e1b02-ca04-4648-a071-1ce2b8fbee1e;58bd5f34-7229-4bad-a5b3-cf491700d9d5
10;2025-02-24T06:14:43;2025-02-24T12:51:13;16274;backburn;2025-02-24T15:47:36;true;PENDING;43040b9f-dc87-47f7-8b93-2770f4f2de69;30df1e71-d884-445a-8fe9-e71d8ac6e98c
