id;msg;from_user_enc_id;to_user_enc_id;trip_id
1;creative vainly wherever;6be3d7e4-4eed-4ba4-a99f-ac93d0256732;f8e83faf-cdb2-402f-a89c-b79c44a62548;641
2;drive;99b40483-03f4-4bc2-8603-3f513ee5a1ee;7e0b345c-70ff-47f8-b1de-6c44a3457a10;7545
3;instead;c2e3e529-df12-411a-a6cc-f7080249034a;804cb9bc-9861-4d61-8e5e-c08d455dad19;12595
4;whose;44d39c73-ecf8-465d-bfc6-cdc7b9095c0b;84cfdfa0-0798-4059-9036-5329bd125479;10466
5;usefully nor louse;0c0296b5-5e7b-40c2-ae2b-5bcaf9e21dbe;9df30e7f-be9f-4fa6-8602-db9232d9cfed;17930
6;valentine;9d05ece5-7659-4179-925a-08668e9617f2;f6c29d3d-7b98-4846-8f90-24dcd1a3461f;32358
7;oh polarisation embed;1a31c0eb-1865-484d-8aa7-52809db79a5c;cf1eab96-f228-4379-8358-d0a20cc88773;11193
8;down status;4e862382-3f3e-4776-89ee-3bb6315249eb;08f523e0-a15f-4797-85fa-1a6a870104d2;32161
9;instead instead;53cdf7b4-216d-4dc3-a781-d1bf5842fe43;4ce51bc4-3d20-4eeb-9a48-5b7c254c57a9;15629
10;suddenly upward;c84e2ee3-9de9-4aa8-aa68-ed96e4d0ecf2;69e2f395-6774-4423-b8cb-c0aae683a525;13160
