id;name;name_en;name_ar;name_fr;name_de;name_urdu
1;ew list;over;nor phew scruple;whoever mockingly;reluctantly till;nor wonderfully
2;crossly coolly phew;boggle put;pace;ugh;tuber joyously who;ceramics because
3;reluctantly;exotic;wholly summary although;bug lest fully;psst apropos;straight quarrelsomely
4;tough insist off;unethically whether unnecessarily;inject;lasting atop now;youthful between;shimmering whose
5;quickly aha smog;jubilantly;forenenst regarding;distinct velocity;provided tusk following;ack even when
6;angle blah;black boohoo;elegant;sharply futon;yet even inferior;ah gah gee
7;blink;after instead;fray pfft kettledrum;selfish;stealthily emulsify unhealthy;anenst
8;splay;kiddingly reporter;publicity beyond unlike;yahoo iterate tune-up;loosely which republican;vibrant pish
9;widow ignite beneath;beneath;pointless parade;ick catalyst hunger;incidentally suddenly inasmuch;meaningfully cruelly championship
10;secret;er even;amid;whoever lender painfully;yippee including;consequently starboard farm
