id;rate;note;rate_date;rated_by_enc_id;rated_enc_id
1;3139;major garrote;2025-02-24T00:44:40;51e77b03-dc04-4c14-8da9-3fd70c8b5472;168b0f1b-6171-4b67-920a-96c2acdc050b
2;11364;skeleton condense quadruple;2025-02-23T20:52:18;79658a4b-e72d-43b3-91fe-40f9c16f6deb;878c696a-7182-4fae-befb-259be882d9b8
3;15460;before supposing;2025-02-23T23:18:12;cad58466-d7d5-44e8-bb6a-1e14bd7f3171;787be97f-be10-4cb8-83e2-c239942c2054
4;2095;upbeat;2025-02-24T12:35:16;869d6423-8c51-4428-8eee-799abd9a47e2;6ad17bcc-d85e-4982-b7ec-cd3e0b18b855
5;28625;ouch adventurously;2025-02-24T12:55:57;cfb27490-7ae2-4312-a7e2-3e35fa96d6d5;b9b3606d-caec-4239-b726-8717d1117317
6;8359;until;2025-02-24T12:17:31;15d6dbb7-5e5c-4f02-ba5f-8ccfdde39e8a;a3fb5d3d-5745-4e9e-a9f5-ebe1b2c70d36
7;6613;with redesign linseed;2025-02-24T06:02:18;892e3a79-b02e-4240-87e1-bcc23f210189;7061c9d0-985a-4003-b816-ea93c1bfdf7d
8;32374;but;2025-02-24T08:58:26;659dca64-7be5-4dd1-879b-0c1b97ca5777;b53919bb-d2dc-4ed9-a6de-922710b8a66c
9;1859;instead save boring;2025-02-24T08:17:01;082ff4c9-da85-4356-b849-a938347f94b3;20db2974-c9e8-4f67-8bb9-c7faabad5d0f
10;5649;sequester and;2025-02-24T17:35:04;a57d85d7-ad51-4a2c-afec-3d0096fead8e;7b748754-3fb4-4944-b94c-c5351b993a7d
